position,variable,label,block,type,n_valid,n_missing,min,max,mean,value_labels,derivation
93,REGION_BIH,Region Bosnia and Herzegovina,wave-specific,numeric,1000,145910,1.0,14.0,,"1 = Bosnian Podrinje Canton (5), F B&H | 2 = Central Bosnia Canton (6), F B&H | 3 = Herzegovina-Neretva Canton (7), F B&H | 4 = Posavina Canton (2), F B&H | 5 = Sarajevo Canton (9), F B&H | 6 = Tuzla Canton (3), F B&H | 7 = Una-Sana Canton (1), F B&H | 8 = Canton 10 (West Bosnia) F B&H | 9 = West Herzegovina Canton (8), F B&H | 10 = Zenica-Doboj Canton (4), F B&H | 11 = RS West (Republika Srpska) | 12 = RS East (Republika Srpska) | 13 = RS South (Republika Srpska) | 14 = Brcko District | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
94,REGION_BOL,Region Bolivia,wave-specific,numeric,1000,145910,101.0,303.0,,101 = Santa Cruz | 102 = Beni | 103 = Pando | 201 = Cochabamba | 202 = Chuquisaca | 203 = Tarija | 301 = La Paz | 302 = Oruro | 303 = Potosí | 998 = (DK) | 999 = (Refused),As supplied in the source file for this wave.
95,REGION_BRA,Region Brazil,wave-specific,numeric,1000,145910,13.0,56.0,,11 = Roraima | 13 = Amazonas | 15 = Pará | 17 = Tocantins | 21 = Maranhão | 22 = Piauí | 23 = Ceará | 24 = Rio Grande do Norte | 25 = Paraíba | 26 = Pernambuco | 27 = Alagoas | 28 = Sergipe | 29 = Bahia | 31 = Minas Gerais | 33 = Rio de Janeiro | 35 = São Paulo | 41 = Paraná | 42 = Santa Catarina | 43 = Rio Grande do Sul | 50 = Mato Grosso do Sul | 51 = Mato Grosso | 52 = Goiás | 53 = Distrito Federal | 54 = Espirito Santo | 55 = Amapá | 56 = Rondonia | 57 = Acre | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
96,REGION_CAM,Region Cameroon,wave-specific,numeric,1000,145910,1.0,12.0,,1 = Adamaoua | 2 = Centre | 3 = East | 4 = Extreme-North | 5 = Littoral | 6 = North | 7 = North-West | 8 = South | 9 = South-West | 10 = West | 11 = Douala | 12 = Yaounde,As supplied in the source file for this wave.
97,REGION_CAN,Region Canada,wave-specific,numeric,1005,145905,1.0,8.0,,1 = Atlantic | 2 = Montreal CMA | 3 = Rest of Quebec (excluding Montreal) | 4 = Toronto CMA | 5 = Rest of Ontario (excluding Toronto) | 6 = Prairies | 7 = Vancouver CMA | 8 = Rest of British Columbia (excluding Vancouver),As supplied in the source file for this wave.
98,REGION_CHE,Region Switzerland,wave-specific,numeric,1000,145910,1.0,98.0,,1 = Aargau | 2 = Appenzell Inner Rhodes | 3 = Appenzell Outer Rhodes | 4 = Basel-Landschaft | 5 = Basel-Stadt | 6 = Bern | 7 = Fribourg | 8 = Geneva | 9 = Glarus | 10 = Graubunden | 11 = Jura | 12 = Lucerne | 13 = Neuchatel | 14 = Nidwalden | 15 = Obwalden | 16 = Sankt Gallen | 17 = Schaffhausen | 18 = Schwyz | 19 = Solothurn | 20 = Thurgau | 21 = Ticino | 22 = Uri | 23 = Valais | 24 = Vaud | 25 = Zug | 26 = Zurich | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
99,REGION_CHL,Region Chile,wave-specific,numeric,1000,145910,1.0,16.0,,1 = Tarapacá | 2 = Antofagasta | 3 = Atacama | 4 = Coquimbo | 5 = Valparaíso | 6 = O’Higgins | 7 = Maule | 8 = Biobío | 9 = La Araucanía | 10 = Los Lagos | 11 = Aysén | 12 = Magallanes y la Antártica Chilena | 13 = Metropolitana | 14 = Los Ríos | 15 = Arica y Parinacota | 16 = Nuble | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
100,REGION_CHN,Region China,wave-specific,numeric,3000,143910,1.0,31.0,,1 = Anhui | 2 = Fujian | 3 = Gansu | 4 = Guangdong | 5 = Guizhou | 6 = Hainan | 7 = Hebei | 8 = Heilongjiang | 9 = Henan | 10 = Hubei | 11 = Hunan | 12 = Jiangsu | 13 = Jiangxi | 14 = Jilin | 15 = Liaoning | 16 = Qinghai | 17 = Shaanxi | 18 = Shandong | 19 = Shanxi | 20 = Sichuan | 21 = Yunnan | 22 = Zhejiang | 23 = Guangxi | 24 = Nei Mongol | 25 = Ningxia | 26 = Xinjiang Uygur | 27 = Xizang (Tibet) | 28 = Beijing municipality | 29 = Chongqing municipality | 30 = Shanghai municipality | 31 = Tianjin municipality | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
101,REGION_COG,Region Congo Brazzaville,wave-specific,numeric,1000,145910,1.0,12.0,,1 = Bouenza | 2 = Brazzaville | 3 = Cuvette | 4 = Cuvette Ouest | 5 = Kouilou | 6 = Lekoumou | 7 = Likouala | 8 = Niari | 9 = Plateaux | 10 = Pool | 11 = Sangha | 12 = Pointe-Noire | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
102,REGION_COL,Region Colombia,wave-specific,numeric,1008,145902,5.0,77.0,,"5 = Antioquia | 8 = Atlántico | 11 = Bogotá, D.C. | 13 = Bolívar | 15 = Boyacá | 17 = Caldas | 18 = Caquetá | 19 = Cauca | 20 = Cesar | 23 = Córdoba | 25 = Cundinamarca | 41 = Huila | 44 = La Guajira | 47 = Magdalena | 50 = Meta | 52 = Nariño | 54 = Norte de Santander | 63 = Quindío | 66 = Risaralda | 68 = Santander | 70 = Sucre | 73 = Tolima | 76 = Valle del Cauca | 77 = Chocó | 81 = Arauca | 85 = Casanare | 86 = Putumayo | 91 = Amazonas | 97 = Vaupés | 99 = Vichada | 100 = Guainía | 101 = Guaviare | 102 = San Andrés y Providencia | 998 = (DK) | 999 = (Refused)",As supplied in the source file for this wave.
